Pack Art,Weight (g),Width (mm),Code Color,Hit?,Hit Type
r,22.3,3.691,g,n,0
d,22.3,3.689,g,n,0
r,22.4,3.658,w,y,g
s,22.3,3.691,g,n,0
s,22.3,3.698,g,n,0
u,22.3,3.694,g,n,0
u,22.2,3.671,w,y,v
d,22.3,3.68,g,n,0
r,22.3,3.658,w,y,h
s,22.4,3.696,g,n,0
u,22.3,3.684,g,n,0
d,22.3,3.689,g,n,0
r,22.3,3.69,g,n,0
d,22.3,3.657,w,y,fa
r,22.3,3.693,g,n,0
s,22.4,3.696,g,n,0
u,22.3,3.649,w,y,v
d,22.3,3.692,g,n,0
r,22.3,3.695,g,n,0
s,22.3,3.666,w,y,h
u,22.3,3.691,g,n,0
d,22.4,3.68,w,y,m
d,22.3,3.655,w,y,V
r,22.3,3.688,g,n,0
r,22.3,3.692,g,n,0
s,22.4,3.688,g,n,0
u,22.3,3.662,w,y,m
d,22.3,3.659,w,y,v
u,22.4,3.694,g,n,0
s,22.3,3.666,w,y,h
r,22.3,3.692,g,n,0
d,22.3,3.69,g,n,0
d,22.4,3.69,g,n,0
u,22.3,3.696,g,n,0
s,22.4,3.654,w,y,fa
r,22.3,3.662,w,y,h
r,22.3,3.699,g,n,0
s,22.3,3.685,g,n,0
u,22.4,3.698,g,n,0
d,22.3,3.646,w,y,m
r,22.4,3.693,g,n,0
s,22.3,3.668,w,y,g
d,22.3,3.641,w,y,h
s,22.3,3.657,w,y,fa
u,22.3,3.68,g,n,0
u,22.4,3.692,g,n,0
d,22.3,3.649,w,y,m
r,22.2,3.682,g,n,0
s,22.3,3.656,w,y,h
u,22.3,3.679,g,n,0
d,22.3,3.696,g,n,0
d,22.3,3.657,w,y,fa
r,22.3,3.684,g,n,0
d,22.3,3.665,w,y,v
r,22.2,3.688,g,n,0
u,22.3,3.64,w,y,h
u,22.3,3.678,g,n,0
s,22.4,3.702,g,n,0
s,22.3,3.649,w,y,h
u,22.2,3.679,g,n,0
r,22.3,3.697,g,n,0
d,22.4,3.688,g,n,0
d,22.3,3.686,g,n,0
r,22.2,3.649,w,y,v
u,22.2,3.684,g,n,0
d,22.3,3.65,w,y,v
r,22.3,3.643,w,y,h
s,22.3,3.688,g,n,0
s,22.3,3.677,g,n,0
u,22.3,3.674,g,n,0
d,22.4,3.685,g,n,0
r,22.2,3.647,w,y,v
u,22.3,3.649,w,y,h
u,22.3,3.693,g,n,0
d,22.3,3.65,w,y,m
d,22.2,3.642,w,y,v
r,22.3,3.679,g,n,0
s,22.3,3.682,g,n,0
r,22.3,3.679,g,n,0
s,22.3,3.66,w,y,m
u,22.3,3.649,w,y,h
u,22.3,3.677,g,n,0
d,22.3,3.676,g,n,0
r,22.2,3.655,w,y,v
s,22.3,3.685,g,n,0
d,22.3,3.691,g,n,0
r,22.3,3.665,w,y,m
s,22.3,3.699,g,n,0
u,22.3,3.696,g,n,0
d,22.3,3.656,w,y,fa
u,22.3,3.653,w,y,h
s,22.3,3.683,g,n,0
r,22.3,3.658,w,y,h
u,22.3,3.678,g,n,0
s,22.3,3.684,g,n,0
d,22.3,3.649,w,y,h
s,22.2,3.656,w,y,v
s,22.3,3.673,g,n,0
u,22.3,3.687,g,n,0
r,22.3,3.68,g,n,0
d,22.3,3.689,g,n,0
r,22.3,3.651,w,y,m
u,22.3,3.674,g,n,0
d,22.3,3.67,g,n,0
r,22.2,3.653,w,y,v
s,22.3,3.679,g,n,0
u,22.3,3.645,w,y,h
s,22.3,3.683,g,n,0
u,22.3,3.693,g,n,0
u,22.3,3.682,g,n,0
d,22.3,3.679,g,n,0
d,22.3,3.694,g,n,0
d,22.3,3.664,g,n,0
s,22.3,3.678,g,n,0
s,22.3,3.679,g,n,0
s,22.4,3.689,g,n,0
s,22.3,3.681,g,n,0
s,22.3,3.675,g,n,0
s,22.3,3.698,g,n,0
s,22.3,3.683,g,n,0
s,22.3,3.69,g,n,0
r,22.3,3.692,g,n,0
r,22.3,3.695,g,n,0
r,22.3,3.682,g,n,0
r,22.3,3.698,g,n,0
r,22.3,3.687,g,n,0
r,22.4,3.682,g,n,0
s,22.2,3.655,w,y,v
s,22.3,3.653,w,y,h
r,22.3,3.657,w,y,m
r,22.3,3.664,w,y,fa
d,22.3,3.649,w,y,h
d,22.3,3.649,w,y,m
d,22.3,3.654,w,y,AVM
d,22.3,3.656,w,y,h
d,22.2,3.649,w,y,v
d,22.3,3.647,w,y,fa
u,22.2,3.646,w,y,v
u,22.3,3.64,w,y,h
u,22.3,3.658,w,y,h
u,22.3,3.645,w,y,h
u,22.2,3.642,w,y,h
u,22.3,3.648,w,y,g
u,22.3,3.646,w,y,m
r,22.2,3.682,g,n,0
s,22.3,3.689,g,n,0
u,22.3,3.692,g,n,0
u,22.3,3.669,w,y,h
u,22.3,3.7,g,n,0
u,22.2,3.696,g,n,0
s,22.3,3.692,g,n,0
s,22.3,3.69,g,n,0
s,22.4,3.694,g,n,0
s,22.3,3.684,g,n,0
s,22.3,3.699,g,n,0
r,22.3,3.695,g,n,0
r,22.3,3.676,g,n,0
r,22.3,3.693,g,n,0
r,22.3,3.684,g,n,0
r,22.3,3.685,g,n,0
r,22.3,3.69,g,n,0
r,22.2,3.694,g,n,0
d,22.3,3.691,g,n,0
d,22.3,3.685,g,n,0
d,22.3,3.678,g,n,0
d,22.3,3.688,g,n,0
d,22.3,3.662,w,y,AVM
u,22.3,3.649,w,y,h
u,22.3,3.65,w,y,m
r,22.2,3.642,w,y,v
s,22.3,3.648,w,y,h
u,22.2,3.652,w,y,v
u,22.3,3.659,w,y,h
d,22.3,3.653,w,y,h
s,22.3,3.642,w,y,v
r,22.2,3.64,w,y,v
d,22.3,3.657,w,y,h
s,22.3,3.655,w,y,h
d,22.2,3.642,w,y,fa
d,22.3,3.649,w,y,h
d,22.3,3.697,g,n,0
d,22.3,3.678,g,n,0
d,22.3,3.694,g,n,0
d,22.4,3.696,g,n,0
d,22.3,3.696,g,n,0
d,22.4,3.685,g,n,0
r,22.3,3.682,g,n,0
r,22.3,3.684,g,n,0
r,22.3,3.676,g,n,0
r,22.3,3.686,g,n,0
r,22.3,3.676,g,n,0
u,22.3,3.679,g,n,0
