Weight (g),Width (mm),Textured Hit?
22.4,3.658,1
22.2,3.671,0
22.3,3.658,0
22.3,3.657,1
22.3,3.649,0
22.3,3.666,0
22.4,3.68,1
22.3,3.655,0
22.3,3.662,1
22.3,3.659,0
22.3,3.666,0
22.4,3.654,1
22.3,3.662,0
22.3,3.646,1
22.3,3.668,1
22.3,3.641,0
22.3,3.657,1
22.3,3.649,1
22.3,3.656,0
22.3,3.657,1
22.3,3.665,0
22.3,3.64,0
22.3,3.649,0
22.2,3.649,0
22.3,3.65,0
22.3,3.643,0
22.2,3.647,0
22.3,3.649,0
22.3,3.65,1
22.2,3.642,0
22.3,3.66,1
22.3,3.649,0
22.2,3.655,0
22.3,3.665,1
22.3,3.656,1
22.3,3.653,0
22.3,3.658,0
22.3,3.649,0
22.2,3.656,0
22.3,3.651,1
22.2,3.653,0
22.3,3.645,0
22.2,3.655,0
22.3,3.653,0
22.3,3.657,1
22.3,3.664,1
22.3,3.649,0
22.3,3.649,1
22.3,3.654,1
22.3,3.656,0
22.2,3.649,0
22.3,3.647,1
22.2,3.646,0
22.3,3.64,0
22.3,3.658,0
22.3,3.645,0
22.2,3.642,0
22.3,3.648,1
22.3,3.646,1
22.3,3.669,0
22.3,3.662,1
22.3,3.649,0
22.3,3.65,1
22.2,3.642,0
22.3,3.648,0
22.2,3.652,0
22.3,3.659,0
22.3,3.653,0
22.3,3.642,0
22.2,3.64,0
22.3,3.657,0
22.3,3.655,0
22.2,3.642,1
22.3,3.649,0
22.4,3.668,1
22.2,3.651,0
22.3,3.656,0
22.3,3.655,1
22.3,3.659,1
22.3,3.646,0
22.4,3.66,0
22.2,3.649,0
22.3,3.665,1
22.2,3.649,0
22.3,3.66,0
22.3,3.65,1
22.3,3.647,0
22.4,3.65,0
22.3,3.683,1
22.3,3.652,1
22.3,3.643,0
22.2,3.641,0
22.3,3.647,1
22.3,3.647,1
22.3,3.655,0
22.3,3.656,0
22.3,3.661,1
22.3,3.657,1
22.4,3.653,0
22.3,3.646,0
22.2,3.658,0
22.3,3.635,0
22.4,3.659,1
